Customer Name ,Name,Item,Description,Amount,Status,Sales Rep,Support End Date [NEW],Date,Completion Date ,Internal ID,Support Start Date  [New]
AtriCure,10015 AtriCure : Hooven Zoom Room,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",12000,Billed,BRAD  COOPER,7/31/2027,2/22/2024,6/21/2024,9944,6/21/2024
Merchants Bank,10026 Merchants Bank : Dinwiddie Conference Room - Teams,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",1640,Billed,Brian Moloney,12/31/2026,10/3/2023,11/14/2023,8799,11/14/2023
US District Court,10054 US District Court : Input Routing,Onsite Support,Onsite Troubleshooting,375,Closed,Brian Moloney,,9/26/2023,11/22/2023,8716,11/22/2023
Graduate Management Admission Council,10091 Graduate Management Admission Council : GMAC HQ 4th Floor Training AV Upgrade,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",7150.75,Billed,STEVE ROSS,12/31/2026,10/9/2023,12/15/2023,8841,12/15/2023
Churchill Downs Incorporated,10133 Churchill Downs Incorporated : CDI- Headquarters,Onsite Support,Onsite Troubleshooting,2320,Billed,TOMMY  KINNAIRD,,10/10/2023,4/18/2024,8849,4/18/2024
Elanco,10149 Elanco : CEO Office Teams Solution,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",1360,Partially Fulfilled,ANDREA  NICHOLSON,11/30/2026,10/18/2023,6/20/2024,8840,6/20/2024
Renaissance Insurance,10156 Renaissance Insurance : Appspace - 1 year service 9 players,Onsite Support,Onsite Troubleshooting,707.2,Pending Fulfillment,Brian Moloney,,12/1/2023,11/25/2024,9265,11/25/2024
Indiana University Health,10171 Indiana University Health : Boardroom - Fairbanks,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",5000,Closed,ANDREA  NICHOLSON,1/31/2027,11/21/2023,6/24/2024,9170,6/24/2024
Indiana University Health,10171 Indiana University Health : Boardroom - Fairbanks,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",900,Closed,ANDREA  NICHOLSON,1/31/2027,11/21/2023,6/24/2024,9170,6/24/2024
Indiana University Health,10171 Indiana University Health : Boardroom - Fairbanks,Extended Support Agreement,"3-Year Extended Support Agreement  Tier 1, 2 and 3 Phone / Video Support Tier 2, and 3 Dispatch - Onsite Support Asset Management - Full System Warranty Firmware/ Software Management Servicenow Ticket Management & Reporting *Remote monitoring available with licensing purchase*  ",6500,Closed,ANDREA  NICHOLSON,1/31/2027,11/21/2023,6/24/2024,9170,6/24/2024
